id,project_id,identifier,title,description,status_id,priority_id,issue_type_id,reporter_user_id,assignee_user_id,due_date,created_at,updated_at
issue_atl_001,project_atlas,ATL-001,Audit and refactor legacy API endpoints,"Review existing REST endpoints for consistency, deprecation, and performance issues. Draft a migration plan for v2 with backward compatibility.",backlog,medium,task,user_lena_brooks,user_lena_brooks,,2026-01-05T10:00:00Z,2026-01-05T10:00:00Z
issue_atl_002,project_atlas,ATL-002,Design token system for new design language,"Create shared tokens for typography, spacing, color, and shadows across web and docs.",backlog,low,user-story,3,3,2026-06-01,2026-01-06T11:00:00Z,2026-01-06T11:00:00Z
issue_atl_003,project_atlas,ATL-003,Implement OAuth2 with PKCE for web client,Replace session auth with OAuth2 PKCE flow and support GitHub and Google providers.,todo,high,epic,2,2,2026-05-20,2026-01-08T09:00:00Z,2026-01-08T09:00:00Z
issue_atl_004,project_atlas,ATL-004,Set up end-to-end testing with Playwright,"Add smoke tests for login, billing and issue workflows and run in CI.",todo,medium,task,4,4,2026-05-24,2026-01-09T14:00:00Z,2026-01-09T14:00:00Z
issue_hrz_001,project_horizon,HRZ-001,Migrate database schema to PostgreSQL 16,Execute zero-downtime migration and validate ORM compatibility.,in-progress,urgent,epic,2,2,2026-05-14,2026-01-13T08:00:00Z,2026-01-13T08:00:00Z
issue_atl_005,project_atlas,ATL-005,Redesign onboarding experience,Build a multi-step setup flow with progress indicator and sample workspace.,in-progress,high,user-story,3,3,2026-05-16,2026-01-11T09:00:00Z,2026-01-11T09:00:00Z
issue_hrz_002,project_horizon,HRZ-002,Rate limiting middleware for public APIs,Implement token bucket rate limiting with configurable per-route limits.,in-review,high,bug,4,4,2026-05-12,2026-01-14T14:00:00Z,2026-01-14T14:00:00Z
issue_atl_006,project_atlas,ATL-006,Add keyboard navigation to command palette,"Support fuzzy search, arrow-key navigation, and accessibility announcements.",in-review,medium,subtask,1,1,2026-05-19,2026-01-14T10:00:00Z,2026-01-14T10:00:00Z
issue_atl_007,project_atlas,ATL-007,Integrate Stripe billing webhooks,Handle subscription lifecycle events and keep billing state synchronized.,done,high,task,2,2,2026-05-05,2026-01-01T09:00:00Z,2026-01-01T09:00:00Z
issue_nuc_001,project_nucleus,NUC-001,Set up observability stack with OpenTelemetry,"Configure traces, metrics, and logs with Grafana dashboards.",done,medium,task,1,1,2026-05-06,2026-01-03T10:00:00Z,2026-01-03T10:00:00Z
issue_nuc_002,project_nucleus,NUC-002,Prototype AI-generated issue summaries,Assess output quality and define product guardrails before launch.,cancelled,none,user-story,1,1,2026-06-18,2026-01-07T15:05:00Z,2026-01-07T15:05:00Z
issue_hrz_003,project_horizon,HRZ-003,Deprecate legacy cycle archive endpoint,Remove deprecated endpoint and update dependent clients.,cancelled,low,subbug,4,4,,2026-01-08T08:25:00Z,2026-01-08T08:25:00Z
